PositionX [?m],PositionY [?m],Time [s],,,,,,,,,
63.708333,47.758333,0:00:00,,,,,,,,,
62.791667,47.758333,0:10:00,,,,,,,,,
63.8,47.116667,0:20:00,,,,,,,,,
62.883333,46.841667,0:30:00,,,,,,,,,
62.15,45.558333,0:40:00,,,,,,,,,
61.966667,45.558333,0:50:00,,,,,,,,,
62.516667,47.208333,1:00:00,,,,,,,,,
60.866667,46.291667,1:10:00,,,,,,,,,
60.683333,46.658333,1:20:00,,,,,,,,,
59.95,46.658333,1:30:00,,,,,,,,,
61.05,46.108333,1:40:00,,,,,,,,,
61.6,45.008333,1:50:00,,,,,,,,,
62.333333,45.925,2:00:00,,,,,,,,,
62.425,44.366667,2:10:00,,,,,,,,,
61.416667,45.283333,2:20:00,,,,,,,,,
62.15,46.75,2:30:00,,,,,,,,,
61.05,47.116667,2:40:00,,,,,,,,,
61.233333,47.3,2:50:00,,,,,,,,,
63.8,46.933333,3:00:00,,,,,,,,,
63.066667,47.116667,3:10:00,,,,,,,,,
64.35,46.016667,3:20:00,,,,,,,,,
63.983333,46.933333,3:30:00,,,,,,,,,
64.716667,46.2,3:40:00,,,,,,,,,
64.533333,50.233333,3:50:00,,,,,,,,,
64.105285,51.380291,4:00:00,,,,,,,,,
63.616667,51.883333,4:10:00,,,,,,,,,
65.331682,49.12053,4:20:00,,,,,,,,,
66.962487,46.2703,4:30:00,,,,,,,,,
68.586748,43.416327,4:40:00,,,,,,,,,
70.204449,40.558639,4:50:00,,,,,,,,,
71.683333,37.583333,5:00:00,,,,,,,,,
70.95,38.133333,5:10:00,,,,,,,,,
71.316667,38.133333,5:20:00,,,,,,,,,
73.15,35.933333,5:30:00,,,,,,,,,
71.683333,38.133333,5:40:00,,,,,,,,,
72.233333,36.666667,5:50:00,,,,,,,,,
68.566667,35.2,6:00:00,,,,,,,,,
67.1,35.566667,6:10:00,,,,,,,,,
69.483333,35.933333,6:20:00,,,,,,,,,
68.566667,37.216667,6:30:00,,,,,,,,,
67.65,36.483333,6:40:00,,,,,,,,,
68.75,36.483333,6:50:00,,,,,,,,,
70.95,38.316667,7:00:00,,,,,,,,,
68.016667,37.583333,7:10:00,,,,,,,,,
68.016667,36.85,7:20:00,,,,,,,,,
67.833333,37.4,7:30:00,,,,,,,,,
66.366667,37.95,7:40:00,,,,,,,,,
64.533333,38.5,7:50:00,,,,,,,,,
65.083333,39.05,8:00:00,,,,,,,,,
66.183333,38.866667,8:10:00,,,,,,,,,
65.816667,39.966667,8:20:00,,,,,,,,,
63.8,40.883333,8:30:00,,,,,,,,,
65.816667,41.25,8:40:00,,,,,,,,,
67.65,41.25,8:50:00,,,,,,,,,
69.116667,40.7,9:00:00,,,,,,,,,
70.216667,42.9,9:10:00,,,,,,,,,
68.2,42.533333,9:20:00,,,,,,,,,
68.75,42.533333,9:30:00,,,,,,,,,
68.016667,42.716667,9:40:00,,,,,,,,,
68.566667,43.266667,9:50:00,,,,,,,,,
66.733333,41.983333,10:00:00,,,,,,,,,
65.083333,40.7,10:10:00,,,,,,,,,
67.65,40.883333,10:20:00,,,,,,,,,
68.016667,41.25,10:30:00,,,,,,,,,
70.583333,42.166667,10:40:00,,,,,,,,,
69.85,41.616667,10:50:00,,,,,,,,,
68.75,41.066667,11:00:00,,,,,,,,,
70.033333,40.516667,11:10:00,,,,,,,,,
70.216667,40.15,11:20:00,,,,,,,,,
68.933333,41.25,11:30:00,,,,,,,,,
72.233333,42.35,11:40:00,,,,,,,,,
73.15,42.533333,11:50:00,,,,,,,,,
72.05,42.9,12:00:00,,,,,,,,,
