PositionX [?m],PositionY [?m],Time [s]
9.44237,8.764593,0.444
9.380158,8.769477,0.613
9.429045,8.761136,0.777
9.468818,8.746398,0.939
9.475291,8.797902,1.103
9.444224,8.842139,1.271
9.417577,8.788635,1.434
9.433985,8.767732,1.602
9.399926,8.733266,1.775
9.357721,8.74232,1.938
9.378832,8.770006,2.108
9.403064,8.788048,2.27
9.455254,8.821126,2.434
9.451867,8.841351,2.598
9.424816,8.846265,2.761
9.406583,8.842201,2.925
9.362768,8.809697,3.093
9.311783,8.835024,3.26
9.362148,8.815021,3.423
9.359151,8.84275,3.586
9.327746,8.8345,3.75
9.290116,8.850089,3.913
9.239979,8.855574,4.077
9.268005,8.86384,4.241
9.298186,8.864816,4.404
9.312913,8.852789,4.567
9.27652,8.811066,4.73
9.250263,8.832744,4.898
9.261149,8.827279,5.061
9.255355,8.821484,5.224
9.242767,8.822946,5.394
9.231008,8.855302,5.562
9.232885,8.798292,5.73
9.224654,8.7945,5.893
9.239913,8.819801,6.056
9.243785,8.831663,6.219
9.256883,8.787174,6.388
9.253785,8.737428,6.551
9.247442,8.68114,6.714
9.294514,8.698786,6.883
9.302124,8.75567,7.046
9.316098,8.804839,7.214
9.29674,8.819573,7.381
9.298962,8.768541,7.549
9.293929,8.700921,7.726
9.33571,8.750559,7.903
9.340269,8.815403,8.071
9.321586,8.775167,8.238
9.343152,8.800765,8.401
9.345552,8.818025,8.564
9.355668,8.878767,8.728
9.348779,8.926589,8.891
9.373704,8.892463,9.054
9.384627,8.937441,9.218
9.356862,8.885491,9.387
9.36453,8.873276,9.555
9.341015,8.824664,9.718
9.298588,8.759305,9.896
9.326297,8.750883,10.064
9.343605,8.756158,10.236
9.383851,8.745764,10.399
9.41756,8.749286,10.562
9.39766,8.73125,10.731
9.399215,8.739933,10.894
9.4446,8.703745,11.058
9.47092,8.701558,11.222
9.43958,8.677579,11.385
9.436497,8.627767,11.554
9.430521,8.653541,11.72
9.464054,8.670149,11.883
9.455057,8.621287,12.048
9.438315,8.621365,12.211
9.39528,8.627229,12.374
9.371363,8.617985,12.538
9.393489,8.61125,12.701
9.443765,8.609677,12.869
9.437957,8.587274,13.032
9.411042,8.600036,13.196
9.371321,8.605661,13.362
9.402063,8.59148,13.531
9.442073,8.552172,13.697
9.466425,8.497457,13.866
9.465699,8.47899,14.037
9.504945,8.488404,14.2
9.472487,8.495291,14.364
9.462799,8.51102,14.527
9.441069,8.515,14.691
9.401161,8.562635,14.86
9.373137,8.578142,15.023
9.320535,8.591339,15.186
9.330256,8.613384,15.356
9.34932,8.623348,15.524
9.358234,8.629526,15.687
9.389778,8.585744,15.85
9.408549,8.577621,16.014
9.393895,8.590686,16.177
9.404071,8.579921,16.34
9.415321,8.547599,16.504
9.427991,8.595817,16.667
9.422296,8.631815,16.831
9.399624,8.633578,16.994
9.390394,8.589273,17.159
9.36381,8.626104,17.326
9.380133,8.587525,17.49
9.391866,8.573742,17.653
9.37699,8.559061,17.816
9.436076,8.538079,17.981
9.484773,8.508325,18.144
9.450736,8.546191,18.307
9.401188,8.56818,18.471
9.345045,8.58817,18.644
9.303414,8.625641,18.807
9.338961,8.591861,18.97
9.27976,8.601358,19.138
9.290251,8.562481,19.302
9.287415,8.61722,19.466
9.264519,8.572418,19.633
9.213495,8.545379,19.796
9.26336,8.581273,19.96
9.249031,8.597698,20.123
9.230719,8.61875,20.295
